assessmentId,internalTaxonId,scientificName,LiteratureMass,MassMesurement,MassSource,Remove,redlistCategory,redlistCriteria,yearPublished,assessmentDate,criteriaVersion,language,rationale,habitat,threats,citation,uncertainty,specificity,population,populationTrend,negation,SuperArchipelago,Archipelago,ArchipelagoPreviouslyInhabited,ArchipelagoColonised,Location,LocationColonised,LocationPreviouslyInhabited,WeigeltID,Mass,NewColony,Island,LakeSpring ,range,useTrade,systems,conservationActions,realm,yearLastSeen,yearLastSeen_cleaned,possiblyExtinct,possiblyExtinctInTheWild,scopes,z,scientificName_1,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes,Edit notes,References
13044905,179,Achatinella decora,,,,,Extinct,,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,No,,0 Missing,,,,Hawaiian Islands,Hawaiian Islands,Yes,1778,Oahu,1779,Yes,9850,,Yes,Yes,,,,Terrestrial,,Oceanian,early 1900s,1902,FALSE,FALSE,Global,Achatinella decora,Achatinella decora,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,decora,,,,,"(Férussac, 1821)",,,
13045321,180,Achatinella dimorpha,,,,,Extinct,,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,No,,0 Missing,,,,Hawaiian Islands,Hawaiian Islands,Yes,1778,Oahu,1779,Yes,9850,,Yes,Yes,,,,Terrestrial,,Oceanian,,,FALSE,FALSE,Global,Achatinella dimorpha,Achatinella dimorpha,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,dimorpha,,,,,"Gulick, 1858",,,
13045735,181,Achatinella elegans,,,,,Extinct,,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,No,,0 Missing,,,,Hawaiian Islands,Hawaiian Islands,Yes,1778,Oahu,1779,Yes,9850,,Yes,Yes,,,,Terrestrial,,Nearctic,1952,1952,FALSE,FALSE,Global,Achatinella bulimoides,Achatinella elegans,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,elegans,,,,,"Newcomb, 1853",,,
13047419,184,Achatinella juddii,,,,,Extinct,,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,No,,0 Missing,,,,Hawaiian Islands,Hawaiian Islands,Yes,1778,Oahu,1779,Yes,9850,,Yes,Yes,,,,Terrestrial,,Oceanian,1958,1958,FALSE,FALSE,Global,Achatinella juddii,Achatinella juddii,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,juddii,,,,,"Baldwin, 1895",,,
13047564,185,Achatinella juncea,,,,,Extinct,,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,No,,0 Missing,,,,Hawaiian Islands,Hawaiian Islands,Yes,1778,Oahu,1779,Yes,9850,,Yes,Yes,,,,Terrestrial,,Oceanian,,,FALSE,FALSE,Global,Achatinella juncea,Achatinella juncea,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,juncea,,,,,"Gulick, 1856",,,
13047687,186,Achatinella lehuiensis,,,,,Extinct,,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,No,,0 Missing,,,,Hawaiian Islands,Hawaiian Islands,Yes,1778,Oahu,1779,Yes,9850,,Yes,Yes,,,,Terrestrial,,Oceanian,1922,1922,FALSE,FALSE,Global,Achatinella lehuiensis,Achatinella lehuiensis,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,lehuiensis,,,,,"Smith, 1873",,,
13047953,189,Achatinella livida,,,,,Extinct,,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,No,,0 Missing,,,,Hawaiian Islands,Hawaiian Islands,Yes,1778,Oahu,1779,Yes,9850,,Yes,Yes,,,,Terrestrial,,Oceanian,,,FALSE,FALSE,Global,Achatinella livida,Achatinella livida,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,livida,,,,,"Swainson, 1828",,,
13048363,192,Achatinella papyracea,,,,,Extinct,,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,No,,0 Missing,,,,Hawaiian Islands,Hawaiian Islands,Yes,1778,Oahu,1779,Yes,9850,,Yes,Yes,,,,Terrestrial,,Oceanian,1945,1945,FALSE,FALSE,Global,Achatinella papyracea,Achatinella papyracea,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,papyracea,,,,,"Gulick, 1856",,,
13049179,198,Achatinella spaldingi,,,,,Extinct,,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,No,,0 Missing,,,,Hawaiian Islands,Hawaiian Islands,Yes,1778,Oahu,1779,Yes,9850,,Yes,Yes,,,,Terrestrial,,Oceanian,1938,1938,FALSE,FALSE,Global,Achatinella spaldingi,Achatinella spaldingi,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,spaldingi,,,,,"Pilsbry &amp; Cooke, 1914",,,
13049902,202,Achatinella thaanumi,,,,,Extinct,,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,No,,0 Missing,,,,Hawaiian Islands,Hawaiian Islands,Yes,1778,Oahu,1779,Yes,9850,,Yes,Yes,,,,Terrestrial,,Oceanian,1900s,1905,FALSE,FALSE,Global,Achatinella thaanumi,Achatinella thaanumi,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,thaanumi,,,,,"Pilsbry &amp; Cooke, 1914",,,
13050607,204,Achatinella valida,,,,,Extinct,,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,No,,0 Missing,,,,Hawaiian Islands,Hawaiian Islands,Yes,1778,Oahu,1779,Yes,9850,,Yes,Yes,,,,Terrestrial,,Oceanian,1951,1951,FALSE,FALSE,Global,Achatinella valida,Achatinella valida,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,valida,,,,,"Pfeiffer, 1855",,,
10847953,44074,Achyranthes atollensis,,,,,Extinct,,2003,2003-04-30 00:00:00 UTC,3.1,English,"The last known individual of <em>A. atollensis</em> was seen in 1964 and is now thought to be extinct.  Islands where this species was most commonly found have been heavily affected by the development of military installations. The decline of the species has been attributed to this development, as well as the introduction of alien plants and animals.","A perennial shrub of dry shrublands on calcareous sand, atolls, and on emerged atolls.","The decline of the species has been attributed to military development, as well as the introduction of alien plants and animals.",No,No,5 Specific description,,,,Hawaiian Islands,Hawaiian Islands,Yes,1778,Hawaian Islands,,,,,Yes,Yes,,"Previously recorded on the islands of Kure Atoll, Midway Atoll, Pearl and Hermes Atoll, and Laysan.  The last known individual was seen in 1964.  Treated by Govaerts in the <em>World Checklist of Seed Plants</em> 1(1): 6 (1995) as a variety of <em>Achyranthes splendens</em>.",,Terrestrial,,Oceanian,1964,1964,FALSE,FALSE,Global,Achyranthes atollensis,Achyranthes atollensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,AMARANTHACEAE,Achyranthes,atollensis,,,,,H.St.John,Treated by some as a variety under <i>A. splendens</i> (<i>Achyranthes splendens</i> var. <i>atollensis</i> (H. St. John) Govaerts) see <i>World Checklist of Seed Plants</i> 1(1): 6. 1995.,,
61462199,231,Acipenser dabryanus,,,,,Extinct in the Wild,,2022,2019-09-14 00:00:00 UTC,3.1,English,"This species is endemic to China, where its natural range is restricted to the Yangtze River drainage and major tributaries, including the Ming, Tuo, and Jialing rivers. In the late 20th century, the population declined drastically due to overfishing and habitat degradation. The population now appears to be Extinct in the Wild, as there is no evidence for natural reproduction any more, and no mature fish have been caught within the last 10 years.","Yangtze Sturgeon permanently lives in freshwater. It usually inhabits the upper and middle reaches of the river (it may also have entered the upper estuary of the Yangtze River). This species spawns in upper reaches of the Yangtze River, in the spring (March–April) and autumn (October–December). Its key spawning reach was between Maoshui and Hejiang, a stretch of 321.7 km (Yangtze Aquatic Resources Survey Group 1988).","Historically, this species experienced unsustainable levels of fishing. Furthermore, mesh sizes of fishing nets have been reduced, thereby capturing young sturgeon, especially during the periods when many juveniles concentrate to feed. Fishing effort and intensity has also increased in the past; for example, in the Neijiang reach of the Tuo River there were only 500 fishing boats in the1950s, but this increased to approximately 2,000 by 1985. In the Leshan Reach of the Ming River, drift gill nets are crowded together from day to night.<br/> <br/> The primary traditional fishing season in the main stream of the Yangzte River was between March and August, with more than 30% of the catch processed between April and May. This is also the spawning season for <em>Acipenser dabryanus</em>, therefore spawning stocks were particularly vulnerable to capture.<br/> <br/>The construction of the Gezhouba Dam in 1981 and the Three Gorges Dam in 2003 have also caused major adverse effects to the habitat of this species and, prior to the wild population disappearing, these constructions caused the population to be restricted to the upstream river, above the dams. The construction of the Xiangjiaba Dam in 2008 is situated in the middle of this sturgeon's spawning reach and is therefore expected to adversely affect it through habitat fragmentation and associated habitat degradation. More recently, two more dams were constructed upriver, changing the temperature and hydrology of the river.<br/> <br/> Additionally, pollution from human development affects the entire Yangtze basin. Much untreated waste water discharges into the river each year. Water quality is also affected by run-off caused by deforestation of the upper Yangtze Valley (Zhuang <em>et al</em>. 1997). Pollution has been declining regionally in recent years.",Yes,No,6 Clear justification of specific extinction cause,"There seems to be no natural reproduction of this species any more, and there are no mature individuals of wild origin due to heavy overfishing. Historically, this was an important species in commercial fisheries of the upper reaches of the Yangtze River (Chen 2007). In the late 20th century, population numbers declined drastically due to overfishing and habitat degradation. Catch data between 1982 and 2019 indicate that since 2008, hundreds of individuals are being captured annually, all originating from releases (Wei 2019, pers. comm.). The species is now fully ranched, and no natural reproduction or natural population is documented in the wild. Artificial propagation began in 1976 by the Chongqing Fisheries Institute, China (Wei 2019, pers. comm.). From 2007 to 2018, approximately 200,000 juveniles were released into the upper and middle reaches of the Yangtze River for stock rehabilitation, which has not yet been proven successful. Since 2018, mature individuals have also been stocked. This, and the imminent total ban of fishing, will hopefully improve the chances of this species recovering in the future.",,,,,,,China,,,,,No,No,,"This species is endemic to China, where it is restricted to the Yangtze River system. Historically, under the natural, unaltered conditions that existed until the middle of the 20th century, this species inhabited the upper and middle reaches of the Yangtze River and its large tributaries, including the Ming, Tuo, Jialing, Xiang and Han rivers, as well as the large lakes attached to the Yangtze River.<br/> <br/> <em>Acipenser dabryanus</em> had been extirpated from the lower river, possibly since 1995, and it was restricted to the upper main stream of the Yangtze River in the Sichuan Province (Zhuang <em>et al</em>. 1997). Starting in 2007, the conservation release programme was carried out in the upper and middle reaches of the Yangtze River. Currently, this fish can be found in the upper and middle reaches of the Yangtze River, as well as in the confluences with some tributaries. However, the majority of individuals observed in the river originate from large scale releases and reproduction of the species in the wild has not been confirmed for at least two decades (one generation length for this species is 30 years).","<em>Acipenser dabryanus</em> was caught intensively for human consumption until the  year 2000. Since 2000, sturgeons are only taken accidentally as  bycatch and were mostly released, however post-release survival was  low. Since 2021, a full ban of fishing (for all fish species) in the  Yangtze River main stem is in place to protect the endemic fish fauna. <br/><br/>There is a large production of this species in aquaculture for restocking and conservation purposes.",Freshwater (=Inland waters),"Fishing will be banned completely by 2021 in the main stem of the Yangtze River. In 2000, the first national nature reserve was created in the upper Yangzte River. The area of this reserve was extended in 2005 to mitigate the conflict between hydroelectric projects and maintenance of ecosystem functionality. The reserve is now the largest aquatic reserve in China, which has a total length of 1,162.6 km, including 436.5 km of the main river (Zhang <em>et al</em>. 2009).<br/> <br/><em>Acipenser dabryanus</em> has been listed as a First Class Protected Animal of the State since 1988, and has received the same effective protection as the Chinese Sturgeon (<em>Acipenser sinensis</em>). This species was also listed on CITES Appendix II in 1998. There is also a national action plan for the species.<br/> <br/> It is considered that the survival of Yangtze Sturgeon entirely relies on stocking efforts, without which this species would possibly become extinct (Zhang <em>et al</em>. 2009). Artificial <a name=""OLE_LINK40""></a><a name=""OLE_LINK39""></a><a name=""OLE_LINK38"">propagation</a> was first carried out in 1976. The second and third generation propagation were carried out successfully by the Yangtze River Fisheries Research Institute in 2013 and 2018, respectively. From 2007 to 2018, approximately 200,000 juveniles were released into the upper Yangtze River for stock rehabilitation. In 2018, around 40 mature individuals were released into the same waters. To date, there has been no evidence that the species currently is reproducing in the wild, but the fishing ban, ongoing stocking and the national action plan are likely to rebuild a self-sustaining population within the next few decades.",Palearctic,2000,2000,FALSE,FALSE,Global,Acipenser dabryanus,Acipenser dabryanus,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,dabryanus,,,,,"Duméril, 1869",,,
